sample_count,gcl_accuracy,source,seed
1000,0.5302173913,libcontinual_v6_amp_seed1,1
2000,0.6507272727,libcontinual_v6_amp_seed1,1
3000,0.7110169492,libcontinual_v6_amp_seed1,1
4000,0.7493220339,libcontinual_v6_amp_seed1,1
5000,0.7623728814,libcontinual_v6_amp_seed1,1
6000,0.7669491525,libcontinual_v6_amp_seed1,1
7000,0.7761666667,libcontinual_v6_amp_seed1,1
8000,0.7965000000,libcontinual_v6_amp_seed1,1
9000,0.8111666667,libcontinual_v6_amp_seed1,1
10000,0.8263333333,libcontinual_v6_amp_seed1,1
11000,0.8020000000,libcontinual_v6_amp_seed1,1
12000,0.8212857143,libcontinual_v6_amp_seed1,1
13000,0.8217142857,libcontinual_v6_amp_seed1,1
14000,0.8361428571,libcontinual_v6_amp_seed1,1
15000,0.8414285714,libcontinual_v6_amp_seed1,1
16000,0.8520000000,libcontinual_v6_amp_seed1,1
17000,0.8461428571,libcontinual_v6_amp_seed1,1
18000,0.8464285714,libcontinual_v6_amp_seed1,1
19000,0.8488571429,libcontinual_v6_amp_seed1,1
20000,0.8565714286,libcontinual_v6_amp_seed1,1
21000,0.8100000000,libcontinual_v6_amp_seed1,1
22000,0.8267500000,libcontinual_v6_amp_seed1,1
23000,0.8430000000,libcontinual_v6_amp_seed1,1
24000,0.8473750000,libcontinual_v6_amp_seed1,1
25000,0.8457500000,libcontinual_v6_amp_seed1,1
26000,0.8485000000,libcontinual_v6_amp_seed1,1
27000,0.8483750000,libcontinual_v6_amp_seed1,1
28000,0.8521250000,libcontinual_v6_amp_seed1,1
29000,0.8551250000,libcontinual_v6_amp_seed1,1
30000,0.8542500000,libcontinual_v6_amp_seed1,1
31000,0.8231111111,libcontinual_v6_amp_seed1,1
32000,0.8277777778,libcontinual_v6_amp_seed1,1
33000,0.8361111111,libcontinual_v6_amp_seed1,1
34000,0.8381111111,libcontinual_v6_amp_seed1,1
35000,0.8426666667,libcontinual_v6_amp_seed1,1
36000,0.8451111111,libcontinual_v6_amp_seed1,1
37000,0.8467777778,libcontinual_v6_amp_seed1,1
38000,0.8481111111,libcontinual_v6_amp_seed1,1
39000,0.8455555556,libcontinual_v6_amp_seed1,1
40000,0.8498888889,libcontinual_v6_amp_seed1,1
41000,0.8233000000,libcontinual_v6_amp_seed1,1
42000,0.8306000000,libcontinual_v6_amp_seed1,1
43000,0.8358000000,libcontinual_v6_amp_seed1,1
44000,0.8340000000,libcontinual_v6_amp_seed1,1
45000,0.8390000000,libcontinual_v6_amp_seed1,1
46000,0.8408000000,libcontinual_v6_amp_seed1,1
47000,0.8419000000,libcontinual_v6_amp_seed1,1
48000,0.8441000000,libcontinual_v6_amp_seed1,1
49000,0.8476000000,libcontinual_v6_amp_seed1,1
50000,0.8462000000,libcontinual_v6_amp_seed1,1
